county_id,county_name,enrollees,total_spend,hospital_snf,physician,outpatient,home_health,hospice,dme,state
48369,TX-Parmer County,1019,9995.72,5085.86,1869.12,1884.17,671.97,273.64,207.73,TX
48371,TX-Pecos County,1326,12088.08,6883.2,1592.74,2278.89,927.04,253.31,140.74,TX
48373,TX-Polk County,10465,9388.14,4037.01,2718.2,1265.29,814.33,438.47,193.63,TX
48375,TX-Potter County,9334,9598.92,4081.16,2667.5,1068.52,958.5,538.36,256.29,TX
48377,TX-Presidio County,1176,5033.09,2368.68,1389.87,915.94,226.29,,99.79,TX
48379,TX-Rains County,1674,11025.34,4918.16,2686.91,1670.73,1014.24,545.23,283.93,TX
48381,TX-Randall County,12511,9041.42,3562.21,2855.5,1056.73,829.57,492.68,254.57,TX
48383,TX-Reagan County,278,6880.98,2108.37,1415.01,1749.44,455.01,1053.03,166.73,TX
48385,TX-Real County,833,10120.27,4835.08,2442.45,1309.32,653.01,792.04,217.63,TX
48387,TX-Red River County,2106,11262.21,4711.65,2768.73,1380.86,1678.85,396.09,363.18,TX
48389,TX-Reeves County,1318,9014.46,4019.59,1970.79,1637.89,1108.49,43.29,118.49,TX
48391,TX-Refugio County,1088,11323.13,5608.14,1980.15,2374.72,691.71,483.13,179.26,TX
48393,TX-Roberts County,92,5512.41,2155.52,1666.37,624.74,,,142.97,TX
48395,TX-Robertson County,1887,9432.75,3382.78,2211.37,1741.9,1368.33,541.49,169.11,TX
48397,TX-Rockwall County,6724,10331.85,4082.45,3121.43,1296.03,1126.0,582.07,170.02,TX
48399,TX-Runnels County,1852,10370.73,4168.4,2218.29,2307.42,1059.34,395.06,231.36,TX
48401,TX-Rusk County,4576,11011.61,4635.03,2524.12,1761.96,1226.89,587.44,281.7,TX
48403,TX-Sabine County,1844,10922.01,4827.16,2387.81,1731.97,1346.14,463.46,256.54,TX
48405,TX-San Augustine County,1499,10729.65,5093.33,2367.49,1520.22,1092.4,400.47,252.58,TX
48407,TX-San Jacinto County,3033,13149.72,5861.28,3606.64,1523.96,1357.94,705.97,218.54,TX
48409,TX-San Patricio County,4686,10843.41,4597.17,2956.17,1318.0,1277.92,525.76,197.63,TX
48411,TX-San Saba County,836,7776.11,3099.44,1564.89,1449.41,833.52,325.34,516.71,TX
48413,TX-Schleicher County,340,10545.94,4580.89,1768.13,3367.99,342.21,81.81,416.4,TX
48415,TX-Scurry County,1796,9969.09,4527.55,1881.87,1900.03,1043.02,422.63,183.05,TX
48417,TX-Shackelford County,503,9819.4,3771.52,2234.85,1754.27,1427.47,445.07,216.67,TX
48419,TX-Shelby County,2968,9905.84,4016.59,2467.01,1404.82,1325.02,461.01,243.23,TX
48421,TX-Sherman County,269,8694.77,3359.62,2325.64,1263.43,794.36,634.07,329.61,TX
48423,TX-Smith County,23161,10616.21,4193.63,2716.45,1940.92,927.28,568.43,272.31,TX
48425,TX-Somervell County,876,10417.62,4574.66,2530.71,1439.23,817.13,766.77,331.18,TX
48427,TX-Starr County,5146,12820.89,5366.49,2841.91,1836.51,1890.24,219.03,271.75,TX
48429,TX-Stephens County,1183,11534.63,4772.21,2172.57,1793.44,1933.31,706.89,208.77,TX
48431,TX-Sterling County,149,8507.6,3112.69,1980.5,1534.3,948.98,,133.97,TX
48433,TX-Stonewall County,280,13193.96,5856.82,1817.47,4388.57,548.3,,209.28,TX
48435,TX-Sutton County,553,8215.91,3534.57,1900.14,1964.88,353.88,329.22,144.59,TX
48437,TX-Swisher County,1149,10753.9,5347.5,2178.09,1899.83,618.69,523.01,189.28,TX
48439,TX-Tarrant County,90888,11295.33,4910.08,3227.71,1251.47,1066.1,679.15,171.6,TX
48441,TX-Taylor County,13816,9301.07,3762.29,2338.79,1542.22,977.79,421.05,261.8,TX
48443,TX-Terrell County,144,7042.39,2615.08,1617.34,1430.16,782.75,,108.21,TX
48445,TX-Terry County,1145,11959.39,5853.88,2367.79,1728.53,774.18,1057.42,183.36,TX
48447,TX-Throckmorton County,286,11561.1,4009.24,2189.51,2861.28,1879.17,,239.9,TX
48449,TX-Titus County,2598,10286.25,4486.2,2517.56,1831.31,837.48,367.77,240.8,TX
48451,TX-Tom Green County,12230,8619.26,3522.99,2118.35,1568.37,788.9,423.58,194.7,TX
48453,TX-Travis County,57416,9726.98,3895.07,3132.21,1148.66,882.03,505.87,163.84,TX
48455,TX-Trinity County,2189,10952.87,4916.07,2842.1,1529.65,1016.94,441.95,243.72,TX
48457,TX-Tyler County,2733,10106.34,3855.53,2338.73,1648.57,1644.77,469.05,220.93,TX
48459,TX-Upshur County,3490,10445.77,4299.18,2482.97,1641.53,1238.94,563.44,257.49,TX
48461,TX-Upton County,319,10451.38,6362.03,1453.23,1637.56,751.97,,214.19,TX
48463,TX-Uvalde County,2781,9223.3,4265.09,2234.64,1613.93,550.81,377.63,179.32,TX
48465,TX-Val Verde County,4711,7691.3,2996.99,2029.7,1618.44,710.45,92.12,181.51,TX
48467,TX-Van Zandt County,6755,10472.8,4544.39,2735.97,1591.49,886.12,524.02,234.19,TX
48469,TX-Victoria County,9040,9781.05,4215.2,2672.16,1476.21,900.26,325.32,182.73,TX
48471,TX-Walker County,4591,10801.38,4493.56,3061.08,1534.67,892.27,625.82,208.08,TX
48473,TX-Waller County,1713,9733.78,4014.94,2543.98,1406.65,1031.37,483.38,217.25,TX
48475,TX-Ward County,1132,8653.81,3691.87,1702.43,1666.79,982.16,407.38,181.69,TX
48477,TX-Washington County,4885,8192.99,3303.43,2383.79,1556.52,574.59,247.96,134.23,TX
48479,TX-Webb County,16176,10654.21,4428.96,2586.11,1194.28,1720.97,180.69,198.29,TX
48481,TX-Wharton County,4734,11177.3,5098.96,2638.72,1895.81,1082.25,226.74,202.74,TX
48483,TX-Wheeler County,761,13185.93,6850.5,2135.7,2388.69,1061.83,436.66,372.81,TX
48485,TX-Wichita County,14111,10803.66,4509.74,2758.87,1355.68,1358.0,599.7,225.67,TX
48487,TX-Wilbarger County,1475,10346.35,4179.74,2218.64,1629.13,1809.29,306.62,187.09,TX
48489,TX-Willacy County,1551,11238.16,4151.44,3035.82,1365.12,1686.86,546.22,171.13,TX
48491,TX-Williamson County,31979,9534.48,3602.28,2985.22,1477.52,767.12,536.56,183.07,TX
48493,TX-Wilson County,3518,9577.49,3898.68,2973.64,1419.13,587.88,547.06,147.63,TX
